elapsed_time_in_intervals_10min,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,p1_momentum,p2_momentum,elapsed_time_in_intervals
0.0,1.0,1.2307692307692308,7.0,0.0,0.0,0.0,0.23076923076923078,1.7692307692307692,1.2307692307692308,1.6923076923076923,2.923076923076923,4.076923076923077,0.15384615384615385,0.0,0.0,0.0,0.07692307692307693,0.15384615384615385,0.0,0.0,0.23076923076923078,0.07692307692307693,0.0,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,14.029923076923076,14.200615384615386,3.3846153846153846,117.6923076923077,-0.014632762695980258,0.32564574374711286,268.0769230769231
600.0,1.0,2.8,18.5,0.0,0.0,0.0,1.8,1.6,1.4,1.6,7.0,11.5,0.4,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.2,0.0,0.2,0.0,0.3,0.0,0.1,0.0,0.2,27.581,26.167799999999993,6.0,110.2,-0.012367654604557346,0.6226286573760076,862.7
1200.0,1.0,4.733333333333333,31.0,0.0,0.0,0.0,3.7333333333333334,1.3333333333333333,1.2666666666666666,1.6,11.266666666666667,19.733333333333334,0.26666666666666666,0.0,0.0,0.0,0.2,0.06666666666666667,0.0,0.0,0.26666666666666666,0.0,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.2,0.0,0.06666666666666667,0.0,0.13333333333333333,15.002799999999999,16.378133333333334,3.533333333333333,117.2,0.09496632764714244,0.5195359826329919,1487.9333333333334
1800.0,1.4615384615384615,4.076923076923077,45.0,0.0,0.46153846153846156,0.38461538461538464,2.6923076923076925,1.3846153846153846,1.2307692307692308,1.4615384615384615,17.0,28.0,0.3076923076923077,0.15384615384615385,0.0,0.0,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,15.714230769230769,18.201615384615383,3.6923076923076925,121.0909090909091,0.12125356613294896,0.16346565170490351,2095.0
2400.0,2.0,2.1818181818181817,57.0,0.0,1.0,1.1818181818181819,0.0,1.8181818181818181,1.6363636363636365,1.4545454545454546,23.90909090909091,33.09090909090909,0.09090909090909091,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.0,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,20.48,19.702727272727273,4.818181818181818,103.6,0.5184557402453069,0.17611598590106456,2712.2727272727275
3000.0,2.0,3.4,67.5,0.0,1.0,2.0,0.4,1.4,1.4,1.6,29.5,38.0,0.2,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.3,0.1,0.2,0.2,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,27.6856,26.9988,6.4,111.7,0.050595819763722946,0.6276766102031609,3275.7
3600.0,2.0,4.714285714285714,79.5,0.0,1.0,2.0,1.7142857142857142,1.2857142857142858,1.2142857142857142,1.5,34.214285714285715,45.285714285714285,0.21428571428571427,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.0,24.12814285714285,24.544214285714286,5.928571428571429,118.35714285714286,0.14229021158660302,0.18371938415061498,3911.8571428571427
4200.0,2.0,6.4,91.5,0.0,1.0,3.0,2.4,1.6,1.5,1.4,40.9,50.6,0.3,0.0,0.1,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.231900000000003,24.1635,5.6,109.8,0.40981467001077865,0.21437104875711577,4533.4
4800.0,2.0,8.5,101.5,0.0,1.0,4.0,3.5,1.5,1.6,1.5,45.9,55.6,0.3,0.0,0.1,0.0,0.2,0.1,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.570199999999996,16.468,4.4,106.0,0.19205466391998322,0.08688044429446098,5130.7
5400.0,2.0,10.2,111.5,0.0,1.0,5.0,4.2,1.8,1.3,1.6,51.3,60.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,28.595499999999998,26.6856,6.6,111.1,-0.07725675706029408,0.023702690129953567,5713.8
6000.0,2.0,12.076923076923077,123.0,0.0,1.0,5.769230769230769,5.3076923076923075,1.6153846153846154,1.2307692307692308,1.5384615384615385,57.07692307692308,65.92307692307692,0.23076923076923078,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.090538461538461,9.862769230769231,2.0,119.58333333333333,0.00709956410019045,0.13936051383969758,6322.384615384615
6600.0,2.0,13.0,134.5,0.0,1.0,6.0,6.0,1.5,1.3,1.3,62.8,71.7,0.1,0.1,0.1,0.0,0.4,0.1,0.0,0.0,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3674,19.5895,5.4,115.1,0.3205417900822347,0.08054498220963116,6862.6
7200.0,3.0,1.1111111111111112,144.0,1.0,1.0,0.1111111111111111,0.0,1.8888888888888888,1.2222222222222223,1.4444444444444444,68.77777777777777,75.22222222222223,0.1111111111111111,0.0,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.0,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,33.20588888888889,29.526777777777777,7.444444444444445,109.0,0.5737265833124964,0.0434806059556324,7502.333333333333
7800.0,3.0,2.769230769230769,155.0,1.0,1.0,1.6153846153846154,0.15384615384615385,1.4615384615384615,1.3076923076923077,1.4615384615384615,75.61538461538461,79.38461538461539,0.23076923076923078,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.15384615384615385,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,19.034692307692307,20.449230769230773,4.538461538461538,112.84615384615384,0.1406344499711948,-0.00594312084685584,8045.461538461538
8400.0,3.0,4.454545454545454,167.0,1.0,1.0,2.4545454545454546,1.0,1.4545454545454546,1.7272727272727273,1.4545454545454546,81.27272727272727,85.72727272727273,0.09090909090909091,0.0,0.0,0.0,0.2727272727272727,0.09090909090909091,0.0,0.0,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.0,0.18181818181818182,0.0,0.0,0.0,0.18181818181818182,15.093000000000002,14.59581818181818,3.909090909090909,103.18181818181819,0.19571403047230176,0.08716019278438339,8679.454545454546
9000.0,3.0,5.0,178.5,1.0,1.0,3.0,1.0,2.0,1.3333333333333333,1.5,87.66666666666667,90.83333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.08333333333333333,0.0,0.4166666666666667,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,21.016333333333332,16.50375,5.0,111.63636363636364,0.03906474010900784,0.38099148935818067,9277.583333333334
9600.0,3.0,5.0,190.5,1.0,1.0,3.0,1.0,2.0,1.5,1.5,93.83333333333333,96.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.25,0.0,0.25,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,24.900916666666664,21.984499999999997,5.666666666666667,111.0,0.05198488969465722,0.039614398431198385,9870.666666666666
10200.0,3.0,6.153846153846154,203.0,1.0,1.0,4.153846153846154,1.0,1.6153846153846154,1.2307692307692308,1.1538461538461537,102.3076923076923,100.6923076923077,0.23076923076923078,0.07692307692307693,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.38461538461538464,0.0,0.07692307692307693,0.23076923076923078,0.0,0.15384615384615385,0.0,0.07692307692307693,0.0,15.300615384615385,13.162461538461539,3.4615384615384617,116.0,0.8138804774461796,-0.163514979177329,10519.76923076923
10800.0,4.0,1.0,212.5,2.0,1.0,0.0,0.0,1.0,1.1666666666666667,1.3333333333333333,108.66666666666667,103.83333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.902833333333335,18.444166666666664,2.6666666666666665,123.0,0.5076495887305558,-0.11680855690000926,11256.166666666666
11400.0,4.0,2.466666666666667,223.0,2.0,1.0,1.0,0.4666666666666667,1.5333333333333334,1.4666666666666666,1.5333333333333334,114.86666666666666,108.13333333333334,0.13333333333333333,0.0,0.06666666666666667,0.0,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.2,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.13333333333333333,0.0,26.19,14.4344,3.933333333333333,113.64285714285714,0.24087829260076793,0.14115369888946072,11710.866666666667
12000.0,4.0,3.5454545454545454,236.0,2.0,1.0,1.5454545454545454,1.0,1.5454545454545454,1.4545454545454546,1.4545454545454546,121.0,115.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,24.067181818181822,19.671090909090907,5.636363636363637,107.4,0.2919654515210339,0.26881093323299926,12295.09090909091
12600.0,4.0,4.833333333333333,247.5,2.0,1.0,2.0,1.8333333333333333,1.1666666666666667,1.4166666666666667,1.6666666666666667,126.16666666666667,121.33333333333333,0.3333333333333333,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.25,0.0,0.08333333333333333,0.0,0.16666666666666666,19.705666666666666,22.507916666666663,4.666666666666667,112.08333333333333,0.05166594559948373,0.49898844002116616,12882.5
13200.0,4.0,6.583333333333333,259.5,2.0,1.0,2.0833333333333335,3.5,1.5833333333333333,1.3333333333333333,1.5,130.83333333333334,128.66666666666666,0.25,0.0,0.08333333333333333,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,18.531916666666664,16.45225,4.416666666666667,113.41666666666667,0.23453991543646238,0.45777285418572283,13488.166666666666
13800.0,4.333333333333333,6.083333333333333,271.5,2.0,1.3333333333333333,2.0,3.0833333333333335,1.5833333333333333,1.6666666666666667,1.75,134.75,136.75,0.3333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.25,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.16666666666666666,0.0,0.08333333333333333,0.0,0.08333333333333333,15.459916666666667,14.237916666666663,3.3333333333333335,106.5,0.012854423361629175,0.7428772125725399,14062.5
14400.0,5.0,1.5,283.5,2.0,2.0,0.0,0.5,1.5,1.3333333333333333,1.5833333333333333,139.5,144.0,0.16666666666666666,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.16666666666666666,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,22.832833333333337,24.13683333333333,5.25,113.33333333333333,0.24421787788375413,0.034783198805465175,14708.25
15000.0,5.0,3.1666666666666665,295.5,2.0,2.0,1.1666666666666667,1.0,1.5,1.25,1.1666666666666667,147.16666666666666,148.33333333333334,0.25,0.0,0.08333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,17.349083333333333,14.92283333333333,4.333333333333333,112.16666666666667,0.8291138762078512,-0.12781094824430297,15312.416666666666
15600.0,5.0,6.0,309.5,2.0,2.0,3.3125,1.6875,1.625,1.375,1.5625,155.125,154.375,0.1875,0.0,0.0625,0.0,0.1875,0.0625,0.0,0.0,0.0,0.125,0.0625,0.1875,0.0625,0.125,0.0,0.0,0.0,0.0,0.0,0.0,13.165875,10.601624999999999,2.6875,114.6875,0.17646776661881466,0.0655937317116635,15912.25
16200.0,5.0,8.615384615384615,324.0,2.0,2.0,4.538461538461538,3.076923076923077,1.4615384615384615,1.3076923076923077,1.5384615384615385,162.30769230769232,161.69230769230768,0.38461538461538464,0.0,0.07692307692307693,0.0,0.23076923076923078,0.07692307692307693,0.0,0.0,0.15384615384615385,0.0,0.0,0.15384615384615385,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,14.205076923076923,16.27569230769231,3.076923076923077,111.3076923076923,0.202513728517435,0.21303702397702964,16540.23076923077
16800.0,5.0,10.0,332.5,2.0,2.0,5.0,4.0,1.0,1.0,1.25,166.75,165.75,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.52975,20.499499999999998,3.25,124.25,0.26550047036458924,0.1237507694590689,16895.5
