Q2-player1,Q3-player2,Q4-elapsed_time,Q5-set_no,Q6-game_no,Q7-point_no,Q8-p1_sets,Q9-p2_sets,Q10-p1_games,Q11-p2_games,Q12-p1_score,Q13-p2_score,Q14-server,Q15-serve_no,Q17-p1_points_won,Q18-p2_points_won,Q19-game_victor,Q20-set_victor,Q21-p1_ace,Q22-p2_ace,Q23-p1_winner,Q24-p2_winner,Q25-winner_shot_type,Q26-p1_double_fault,Q27-p2_double_fault,Q28-p1_unf_err,Q29-p2_unf_err,Q30-p1_net_pt,Q31-p2_net_pt,Q32-p1_net_pt_won,Q33-p2_net_pt_won,Q34-p1_break_pt,Q35-p2_break_pt,Q36-p1_break_pt_won,Q37-p2_break_pt_won,Q38-p1_break_pt_missed,Q39-p2_break_pt_missed,Q40-p1_distance_run,Q41-p2_distance_run,Q42-rally_count,Q43-speed_mph,Q44-serve_width,Q45-serve_depth,Q46-return_depth
1.0,1.0,204.0,3.0,8.0,204.0,1.0,1.0,5.0,2.0,3.0,3.0,2.0,1.0,108.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.835,17.538,4.0,114.0,3.0,1.0,2.0
1.0,1.0,267.0,4.0,7.0,267.0,2.0,1.0,2.0,4.0,4.0,2.0,2.0,1.0,138.0,129.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12.044,7.425,3.0,129.0,1.0,2.0,1.0
1.0,1.0,153.0,2.0,13.0,153.0,1.0,0.0,6.0,6.0,11.0,10.0,2.0,1.0,78.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.076,14.846,3.0,129.0,4.0,2.0,1.3899581589958159
1.0,1.0,10.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,1.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.235,27.427,5.0,110.0,2.0,1.0,1.0
1.0,1.0,234.0,4.0,3.0,234.0,2.0,1.0,0.0,2.0,4.0,4.0,2.0,1.0,120.0,114.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.272,4.794,3.0,112.40967544396815,5.0,1.0,1.0
1.0,1.0,227.0,4.0,3.0,227.0,2.0,1.0,0.0,2.0,2.0,3.0,2.0,1.0,116.0,111.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.033,14.679,3.0,129.0,2.0,1.0,1.0
1.0,1.0,197.0,3.0,7.0,197.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,103.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.487,15.647,3.0,117.0,4.0,2.0,1.0
1.0,1.0,110.0,2.0,7.0,110.0,1.0,0.0,2.0,4.0,2.0,4.0,2.0,1.0,53.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.298,14.758,2.0,108.0,4.0,1.0,1.0
1.0,1.0,6.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.291,4.249,2.0,97.0,3.0,1.0,1.0
1.0,1.0,176.0,3.0,3.0,176.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,89.0,87.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.877,32.934,6.0,127.0,5.0,1.0,2.0
1.0,1.0,238.0,4.0,3.0,238.0,2.0,1.0,0.0,2.0,4.0,4.0,2.0,2.0,122.0,116.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.6,48.407,7.0,110.0,2.0,1.0,1.0
1.0,1.0,58.0,1.0,9.0,58.0,0.0,0.0,5.0,3.0,4.0,4.0,1.0,1.0,31.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.428,29.751,7.0,114.0,3.0,1.0,2.0
1.0,1.0,219.0,4.0,2.0,219.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,114.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.544,2.202,0.0,112.40967544396815,3.0,2.0,1.3899581589958159
1.0,1.0,46.0,1.0,8.0,46.0,0.0,0.0,4.0,3.0,1.0,1.0,2.0,1.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.879,4.853,1.0,132.0,5.0,2.0,2.0
1.0,1.0,183.0,3.0,4.0,183.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,94.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.132,7.399,2.0,127.0,3.0,1.0,2.0
1.0,1.0,222.0,4.0,2.0,222.0,2.0,1.0,0.0,1.0,3.0,3.0,1.0,2.0,115.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.061,5.626,0.0,112.40967544396815,5.0,2.0,1.0
1.0,1.0,290.0,4.0,11.0,290.0,2.0,1.0,5.0,5.0,2.0,3.0,2.0,1.0,151.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.319,11.144,4.0,113.0,5.0,1.0,2.0
1.0,1.0,212.0,3.0,9.0,212.0,1.0,1.0,5.0,3.0,4.0,2.0,1.0,1.0,112.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.526,13.833,1.0,128.0,5.0,1.0,2.0
1.0,1.0,149.0,2.0,13.0,149.0,1.0,0.0,6.0,6.0,9.0,8.0,2.0,1.0,76.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.121,8.641,1.0,127.0,2.0,1.0,2.0
1.0,1.0,166.0,3.0,2.0,166.0,1.0,1.0,1.0,0.0,3.0,3.0,2.0,1.0,85.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.922,14.558,4.0,130.0,5.0,1.0,1.0
1.0,1.0,79.0,2.0,3.0,79.0,1.0,0.0,0.0,2.0,1.0,4.0,2.0,2.0,37.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.044,35.246,7.0,101.0,4.0,2.0,2.0
1.0,1.0,114.0,2.0,7.0,114.0,1.0,0.0,2.0,4.0,4.0,4.0,2.0,1.0,55.0,59.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.537,26.376,7.0,130.0,5.0,1.0,2.0
1.0,1.0,250.0,4.0,5.0,250.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,128.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.05,8.179,1.0,113.0,4.0,2.0,1.0
1.0,1.0,251.0,4.0,5.0,251.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,129.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.046,4.252,2.0,129.0,2.0,1.0,1.0
1.0,1.0,105.0,2.0,6.0,105.0,1.0,0.0,1.0,4.0,5.0,4.0,1.0,2.0,51.0,54.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.157,1.0,121.0,5.0,1.0,1.3899581589958159
1.0,1.0,43.0,1.0,7.0,43.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,22.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.277,11.043,3.0,115.0,4.0,2.0,1.0
1.0,1.0,282.0,4.0,10.0,282.0,2.0,1.0,4.0,5.0,3.0,2.0,1.0,1.0,147.0,135.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.211,41.728,11.0,121.0,5.0,1.0,2.0
1.0,1.0,296.0,4.0,12.0,296.0,2.0,1.0,6.0,5.0,3.0,2.0,1.0,1.0,155.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.044,9.281,2.0,130.0,3.0,1.0,1.0
1.0,1.0,158.0,3.0,1.0,158.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,80.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.959,3.97,1.0,126.0,5.0,2.0,1.0
1.0,1.0,239.0,4.0,3.0,239.0,2.0,1.0,0.0,2.0,4.0,5.0,2.0,1.0,123.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.164,23.903,6.0,128.0,3.0,1.0,1.0
1.0,1.0,18.0,1.0,2.0,18.0,0.0,0.0,1.0,0.0,4.0,5.0,2.0,1.0,9.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.194,16.594,3.0,116.0,5.0,1.0,1.0
1.0,1.0,165.0,3.0,2.0,165.0,1.0,1.0,1.0,0.0,2.0,3.0,2.0,1.0,84.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.47,6.624,2.0,128.0,3.0,1.0,2.0
1.0,1.0,34.0,1.0,5.0,34.0,0.0,0.0,2.0,2.0,4.0,4.0,1.0,2.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.782,25.6,5.0,97.0,5.0,2.0,2.0
1.0,1.0,25.0,1.0,4.0,25.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.925,13.976,3.0,111.0,3.0,1.0,1.0
1.0,1.0,216.0,4.0,1.0,216.0,2.0,1.0,0.0,0.0,2.0,3.0,2.0,1.0,113.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.188,8.153,1.0,128.0,4.0,2.0,2.0
1.0,1.0,120.0,2.0,8.0,120.0,1.0,0.0,3.0,4.0,3.0,1.0,1.0,2.0,61.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.182,15.422,3.0,100.0,2.0,1.0,2.0
1.0,1.0,8.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.503,18.067,6.0,105.0,2.0,1.0,1.0
1.0,1.0,91.0,2.0,5.0,91.0,1.0,0.0,1.0,3.0,2.0,3.0,2.0,1.0,44.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.689,27.317,8.0,131.0,3.0,1.0,2.0
1.0,1.0,47.0,1.0,8.0,47.0,0.0,0.0,4.0,3.0,1.0,2.0,2.0,2.0,24.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.929,0.93,0.0,112.40967544396815,4.0,2.0,1.3899581589958159
1.0,1.0,74.0,2.0,2.0,74.0,1.0,0.0,0.0,1.0,4.0,4.0,1.0,2.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.494,9.222,2.0,105.0,1.0,1.0,2.0
1.0,1.0,94.0,2.0,5.0,94.0,1.0,0.0,1.0,3.0,4.0,4.0,2.0,2.0,46.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.903,38.624,10.0,107.0,5.0,1.0,1.0
1.0,1.0,77.0,2.0,3.0,77.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,37.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.712,11.06,1.0,128.0,4.0,2.0,1.0
1.0,1.0,287.0,4.0,11.0,287.0,2.0,1.0,5.0,5.0,1.0,1.0,2.0,1.0,149.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.701,6.51,1.0,125.0,1.0,2.0,1.0
1.0,1.0,61.0,1.0,9.0,61.0,0.0,0.0,5.0,3.0,4.0,5.0,1.0,1.0,32.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18.705,28.259,7.0,121.0,1.0,1.0,1.0
1.0,1.0,78.0,2.0,3.0,78.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,37.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.788,5.077,3.0,108.0,3.0,1.0,2.0
1.0,1.0,64.0,2.0,1.0,64.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,34.0,30.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.621,0.843,1.0,123.0,5.0,1.0,1.3899581589958159
1.0,1.0,235.0,4.0,3.0,235.0,2.0,1.0,0.0,2.0,4.0,5.0,2.0,1.0,121.0,114.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.741,11.995,4.0,129.0,4.0,2.0,1.0
1.0,1.0,230.0,4.0,3.0,230.0,2.0,1.0,0.0,2.0,4.0,4.0,2.0,1.0,119.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.348,25.995,4.0,117.0,3.0,1.0,2.0
1.0,1.0,112.0,2.0,7.0,112.0,1.0,0.0,2.0,4.0,4.0,4.0,2.0,2.0,55.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.142,28.309,8.0,115.0,1.0,1.0,2.0
1.0,1.0,232.0,4.0,3.0,232.0,2.0,1.0,0.0,2.0,4.0,4.0,2.0,1.0,119.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.666,20.844,3.0,127.0,5.0,1.0,1.0
1.0,1.0,181.0,3.0,4.0,181.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,93.0,88.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.698,24.671,6.0,129.0,3.0,2.0,2.0
1.0,1.0,145.0,2.0,13.0,145.0,1.0,0.0,6.0,6.0,7.0,6.0,2.0,1.0,74.0,71.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.273,6.262,1.0,128.0,4.0,2.0,1.0
1.0,1.0,240.0,4.0,3.0,240.0,2.0,1.0,0.0,2.0,4.0,4.0,2.0,1.0,123.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.716,8.067,1.0,114.0,4.0,1.0,2.0
1.0,1.0,76.0,2.0,3.0,76.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,37.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.125,7.455,1.0,126.0,5.0,2.0,2.0
1.0,1.0,298.0,4.0,12.0,298.0,2.0,1.0,6.0,5.0,3.0,4.0,1.0,1.0,156.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.056,1.509,1.0,129.0,2.0,1.0,1.0
1.0,1.0,279.0,4.0,10.0,279.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,2.0,145.0,134.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.178,10.283,3.0,101.0,1.0,1.0,1.0
1.0,1.0,98.0,2.0,6.0,98.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,2.0,46.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.367,14.617,2.0,115.0,5.0,1.0,1.0
1.0,1.0,93.0,2.0,5.0,93.0,1.0,0.0,1.0,3.0,4.0,3.0,2.0,1.0,45.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,30.783,24.947,5.0,123.0,2.0,1.0,1.0
1.0,1.0,193.0,3.0,6.0,193.0,1.0,1.0,4.0,1.0,2.0,3.0,2.0,2.0,101.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.125,18.237,2.0,105.0,3.0,1.0,2.0
1.0,1.0,26.0,1.0,4.0,26.0,0.0,0.0,2.0,1.0,1.0,3.0,2.0,1.0,13.0,13.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.903,1.067,1.0,125.0,5.0,1.0,1.3899581589958159
